ethnicity,ethnic_group,population,population_proportion,observed_deaths,observed_deaths_proportion,pop_expected_deaths,expected_deaths,expected_deaths_proportion,difference,ratio
Asian/Asian British,Any other Asian background,819402,0.015456782458824394,374,0.01643089359458747,352,110,0.00482198021004179,264,3.4
Asian/Asian British,Bangladeshi,436514,0.008234178020350537,152,0.00667779632721202,187,39,0.001694059027923953,113,3.8974358974358974
Asian/Asian British,Chinese,379503,0.00715875152058603,78,0.0034267639047535366,163,56,0.0024544503797092328,22,1.3928571428571428
Asian/Asian British,Indian,1395702,0.026327812467319002,695,0.030533345048765485,599,290,0.012739202691620271,405,2.396551724137931
Asian/Asian British,Pakistani,1112282,0.020981521776693386,462,0.02029698620507864,478,127,0.005569619770526172,335,3.6377952755905514
Black/African/Caribbean/Black British,African,977741,0.018443608800165757,400,0.017573148229505314,420,78,0.003435917144868452,322,5.128205128205129
Black/African/Caribbean/Black British,Any other Black background,277857,0.005241353088791057,206,0.009050171338195238,119,26,0.0011320413003217287,180,7.923076923076923
Black/African/Caribbean/Black British,Caribbean,591016,0.011148625145758198,609,0.026755118179421843,254,191,0.00840269731055814,418,3.18848167539267
Mixed/multiple ethnic group,Any other Mixed background,283005,0.005338462341756058,68,0.0029874351990159037,122,27,0.0011764631029026072,41,2.5185185185185186
Mixed/multiple ethnic group,White and Asian,332708,0.006276034447451369,29,0.0012740532466391354,143,28,0.0012109262494334173,1,1.0357142857142858
Mixed/multiple ethnic group,White and Black African,161550,0.0030473970117513515,14,6.150601880326861e-4,69,10,4.276249210268019e-4,4,1.4
Mixed/multiple ethnic group,White and Black Caribbean,415616,0.007839968780167439,45,0.001976979175819348,178,37,0.0016217475727821212,8,1.2162162162162162
Other ethnic group,Any other ethnic group,548418,0.01034507814540794,608,0.02671118530884808,235,75,0.003276534209166608,533,8.106666666666667
White,Any other White background,2484905,0.0468739837294088,780,0.03426763904753537,1067,466,0.020464860358519972,314,1.6738197424892705
White,British,42279236,0.797533998424823,18019,0.7916263948686407,18153,20837,0.9154261438804976,-2818,0.8647598022747996
White,Irish,517001,0.009752443840745655,223,0.009797030137949213,222,368,0.016145731870101168,-145,0.6059782608695652
